State/Territory,2012,2022
NSW,1.93,1.71
VIC,1.88,1.51
QLD,2,1.71
SA,1.9,1.62
WA,1.92,1.62
TAS,2.03,1.49
NT,2.16,1.73
ACT,1.78,1.41
